ID,Country.of.Origin,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture
1,Ethiopia,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12
2,Ethiopia,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12
3,Guatemala,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75,0
4,Ethiopia,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11
5,Ethiopia,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12
6,Brazil,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,0.11
7,Peru,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,0.11
8,Ethiopia,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67,0.03
9,Ethiopia,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42,0.03
10,Ethiopia,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1
11,Ethiopia,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,0.1
12,United States,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92,0
13,United States,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,0
14,United States (Hawaii),8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,87.92,0
15,Ethiopia,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83,0.05
16,United States,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58,0
17,Indonesia,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42,0.03
18,Ethiopia,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33,0.05
19,China,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,0.1
20,Ethiopia,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,0
21,United States,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25,0
22,Costa Rica,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,0.11
23,Mexico,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,0.13
24,United States,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,0
25,Ethiopia,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08,0.11
26,Brazil,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12
27,Ethiopia,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,86.92,0.05
28,Uganda,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83,0.12
29,Honduras,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,86.67,0.1
30,Taiwan,8,8,8,8.25,8,8.17,10,10,10,8.17,86.58,0
31,Nicaragua,7.92,8.25,8,8.33,8,8.08,10,10,10,8,86.58,0.08
32,"Tanzania, United Republic Of",8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5,0.11
33,Brazil,8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,0.12
34,Costa Rica,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33,0
